,Country,Carbon,Methane,Nitrogen,FGas
0,World,3492.34,33904.36,2302.27,1177.41
1,World,3434.75,15761.94,342.82,269.67
2,China,3112.94,9880.32,297.0,174.03
3,World,682.87,6254.47,260.88,80.88
4,China,629.57,5588.07,219.6,78.35
5,United States,517.75,4776.82,179.7,63.24
6,World,513.72,2774.53,172.47,54.64
7,World,500.22,2651.58,169.34,38.85
8,World,414.5,2312.6,123.72,27.21
9,China,392.7,1958.27,92.98,23.63
10,European Union (27),334.93,1683.28,87.98,21.74
11,India,319.73,1608.5,60.7,21.65
12,World,211.92,1361.26,59.14,18.35
13,United States,202.14,1302.61,55.73,17.15
14,Russia,187.44,1237.66,55.59,16.78
15,World,165.92,1056.19,55.52,15.61
16,World,163.85,986.2,55.04,13.52
17,World,135.27,869.41,45.65,12.72
18,India,118.56,855.37,45.1,12.68
19,World,118.23,826.9,44.48,12.51
20,Japan,100.67,644.11,37.83,12.49
21,European Union (27),88.96,609.12,33.48,12.07
22,Russia,86.56,601.37,32.83,12.07
23,Indonesia,84.99,587.43,30.95,10.47
24,China,81.96,585.71,29.13,10.06
25,China,81.6,573.04,27.98,9.93
26,Germany,79.57,572.46,27.64,9.85
27,China,78.48,542.94,26.83,9.48
28,Iran,72.57,499.18,26.45,8.37
29,Democratic Republic of the Congo,72.25,439.05,26.27,7.82
30,Indonesia,72.11,433.63,25.53,7.63
31,South Korea,71.38,428.41,25.39,7.32
32,Canada,71.04,413.27,23.45,6.6
33,India,70.79,384.31,23.27,5.9
34,Japan,69.13,383.5,23.08,5.8
35,Russia,65.08,366.42,22.59,5.66
36,Russia,60.74,363.06,21.82,4.9
37,India,60.71,358.91,21.14,4.71
38,Saudi Arabia,60.06,344.47,19.61,3.96
39,United States,59.83,309.33,19.37,3.92
40,South Africa,59.6,293.88,18.75,3.73
41,Mexico,56.71,288.85,18.58,3.7
42,United States,56.08,287.44,18.17,3.64
43,Brazil,52.15,283.64,17.66,3.56
44,United States,51.55,282.83,17.31,3.49
45,Brazil,50.92,280.46,15.91,3.29
46,Australia,49.71,262.6,15.88,2.99
47,Turkey,49.37,262.51,15.65,2.95
48,European Union (27),48.23,261.86,14.48,2.93
49,South Korea,48.2,256.84,14.01,2.91
50,United Kingdom,48.16,252.0,13.88,2.79
51,China,47.73,241.25,13.68,2.55
52,Brazil,47.54,230.91,13.67,2.54
53,China,45.63,229.7,13.63,2.42
54,Italy,43.36,221.13,13.37,2.39
55,World,42.19,211.91,12.11,2.27
56,France,40.72,208.31,12.09,2.24
57,South Africa,40.39,202.91,12.09,2.01
58,Poland,39.42,189.28,11.67,2.01
59,Vietnam,37.01,186.09,11.09,1.73
60,World,36.2,180.13,10.97,1.69
61,Russia,32.49,174.96,10.95,1.66
62,China,32.36,174.94,10.68,1.6
63,European Union (27),31.9,171.07,10.65,1.59
64,Saudi Arabia,29.8,170.65,10.59,1.54
65,Germany,28.96,164.0,10.48,1.51
66,World,28.96,160.5,9.92,1.5
67,Indonesia,27.51,154.42,9.69,1.49
68,Thailand,27.49,149.31,9.65,1.46
69,Malaysia,27.44,148.78,9.58,1.44
70,Spain,27.39,148.17,9.58,1.41
71,Egypt,27.32,146.33,9.47,1.38
72,Australia,27.15,145.28,9.27,1.36
73,India,26.82,143.7,8.81,1.35
74,European Union (27),25.98,135.47,8.79,1.32
75,Canada,24.62,129.53,8.33,1.3
76,Kazakhstan,24.44,115.82,8.16,1.26
77,Iran,24.39,113.18,7.95,1.24
78,United States,24.09,112.73,7.93,1.17
79,Japan,24.06,109.58,7.53,1.14
80,World,23.73,108.48,7.5,1.13
81,Mexico,23.62,108.47,7.5,1.1
82,United Arab Emirates,22.92,107.14,7.4,1.09
83,United States,22.87,102.66,7.33,1.05
84,Pakistan,22.47,100.52,7.2,1.05
85,Singapore,22.24,98.57,7.14,1.05
86,United States,22.14,94.31,6.96,1.01
87,European Union (27),22.08,93.56,6.79,0.96
88,Iraq,21.72,92.36,6.71,0.92
89,Ukraine,21.49,91.4,6.66,0.92
90,Brazil,21.01,91.08,6.6,0.92
91,Iran,20.16,90.59,6.52,0.91
92,Argentina,20.15,90.19,6.43,0.9
93,Iran,20.01,89.79,6.4,0.86
94,Algeria,19.88,89.66,6.24,0.85
95,Vietnam,19.73,89.28,6.06,0.83
96,Turkey,19.62,87.16,6.04,0.78
97,United States,18.66,85.57,5.99,0.77
98,Indonesia,18.13,83.23,5.92,0.74
99,Netherlands,18.1,83.07,5.81,0.72
100,Poland,18.05,82.97,5.58,0.69
101,India,17.95,81.21,5.56,0.67
102,Philippines,17.64,75.73,5.5,0.65
103,Pakistan,17.59,75.0,5.47,0.64
