Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011
World,Climate Watch,Energy,CO2,MtCO₂e,33904.36,33909.89,33189.46,32665.34,32638.99,32735.76,32669.28,32067.98,31720.51
World,Climate Watch,Electricity/Heat,CO2,MtCO₂e,15761.94,15802.92,15347.05,15014.07,14993.39,15268.93,15322.81,15054.83,14756.13
China,Climate Watch,Energy,CO2,MtCO₂e,9880.32,9716.23,9337.81,9131.66,9139.1,9228.07,9236.27,8827.07,8573.95
World,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,6254.47,6180.2,6083.19,6140.39,6325.29,6408.01,6363.24,6333.74,6310.42
China,Climate Watch,Electricity/Heat,CO2,MtCO₂e,5588.07,5378.64,5035.33,4698.0,4593.77,4689.45,4742.95,4450.73,4324.11
United States,Climate Watch,Energy,CO2,MtCO₂e,4776.82,4936.34,4779.05,4855.06,4950.8,5067.77,5055.73,4920.79,5141.39
World,Climate Watch,Agriculture,CH4,MtCO₂e,3492.34,3499.34,3497.77,3460.15,3435.26,3418.06,3397.18,3432.6,3416.17
World,Climate Watch,Energy,CH4,MtCO₂e,3434.75,3397.6,3297.33,3238.06,3251.34,3263.03,3237.42,3223.56,3166.13
World,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,3112.94,3075.18,2971.48,2915.98,2928.03,2939.27,2914.14,2902.83,2846.71
China,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2774.53,2772.85,2698.35,2859.64,2996.07,3080.31,3073.57,3043.36,3004.77
European Union (27),Climate Watch,Energy,CO2,MtCO₂e,2651.58,2788.92,2854.54,2835.23,2825.76,2766.23,2914.96,2988.02,3042.94
India,Climate Watch,Energy,CO2,MtCO₂e,2312.6,2312.93,2199.41,2071.95,2040.52,2031.31,1864.63,1809.24,1665.43
World,Climate Watch,Agriculture,N2O,MtCO₂e,2302.27,2303.67,2318.19,2268.41,2246.84,2237.84,2211.28,2234.66,2224.48
United States,Climate Watch,Electricity/Heat,CO2,MtCO₂e,1958.27,2096.77,2064.52,2145.51,2234.02,2376.19,2378.54,2360.2,2488.67
Russia,Climate Watch,Energy,CO2,MtCO₂e,1683.28,1640.91,1574.04,1551.09,1569.39,1585.51,1605.4,1649.43,1673.96
World,Climate Watch,Industrial Processes,CO2,MtCO₂e,1608.5,1566.7,1500.5,1478.7,1437.3,1493.8,1438.7,1377.8,1343.3
World,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,1361.26,1192.81,1046.26,1079.59,483.42,459.84,194.15,211.39,200.67
World,Climate Watch,Bunker Fuels,CO2,MtCO₂e,1302.61,1310.06,1284.1,1226.41,1184.5,1132.2,1095.8,1089.09,1134.58
India,Climate Watch,Electricity/Heat,CO2,MtCO₂e,1237.66,1255.82,1154.9,1096.32,1103.12,1123.43,1006.04,989.11,860.23
World,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,1177.41,1136.14,1094.87,1053.6,1000.64,962.57,908.93,861.06,812.31
Japan,Climate Watch,Energy,CO2,MtCO₂e,1056.19,1089.97,1128.81,1141.82,1153.51,1190.56,1235.97,1227.99,1188.54
European Union (27),Climate Watch,Electricity/Heat,CO2,MtCO₂e,986.2,1103.46,1164.41,1157.93,1179.62,1155.95,1224.98,1292.74,1312.77
Russia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,869.41,859.18,835.99,839.26,878.48,907.38,969.39,1007.74,1015.17
Indonesia,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,855.37,686.44,548.19,573.13,1083.92,1049.18,795.95,817.12,805.23
China,Climate Watch,Industrial Processes,CO2,MtCO₂e,826.9,786.7,758.2,743.0,722.0,778.6,748.3,714.8,708.6
China,Climate Watch,Energy,CH4,MtCO₂e,682.87,661.53,633.78,621.84,668.09,677.93,669.01,648.56,650.37
Germany,Climate Watch,Energy,CO2,MtCO₂e,644.11,694.47,718.79,734.49,729.68,723.11,763.65,746.84,733.09
China,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,629.57,606.44,575.05,562.49,606.9,617.23,608.09,585.94,586.02
Iran,Climate Watch,Energy,CO2,MtCO₂e,609.12,618.34,607.51,587.45,578.28,581.86,558.87,535.05,528.99
Democratic Republic of the Congo,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,601.37,601.37,601.37,601.37,601.37,601.37,601.37,601.37,601.37
Indonesia,Climate Watch,Energy,CO2,MtCO₂e,587.43,542.16,485.24,453.8,464.04,458.43,423.17,458.24,454.25
South Korea,Climate Watch,Energy,CO2,MtCO₂e,585.71,605.94,600.28,589.21,582.05,562.68,574.55,575.47,573.76
Canada,Climate Watch,Energy,CO2,MtCO₂e,573.04,573.11,561.23,550.68,552.48,555.76,549.69,539.68,543.27
India,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,572.46,559.04,567.06,524.04,503.1,500.53,469.39,431.9,443.41
Japan,Climate Watch,Electricity/Heat,CO2,MtCO₂e,542.94,565.18,592.86,608.9,608.73,634.02,660.79,654.78,605.52
Russia,Climate Watch,Energy,CH4,MtCO₂e,517.75,503.85,476.78,460.7,446.77,441.46,445.51,445.26,451.81
Russia,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,513.72,499.84,473.17,456.95,443.01,437.91,442.15,441.7,448.42
India,Climate Watch,Agriculture,CH4,MtCO₂e,500.22,499.61,495.72,491.43,489.14,487.66,487.51,484.4,487.58
Saudi Arabia,Climate Watch,Energy,CO2,MtCO₂e,499.18,496.13,521.07,532.35,535.52,510.67,474.99,467.1,441.44
United States,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,439.05,454.06,429.41,439.02,433.88,437.26,434.89,438.57,435.69
South Africa,Climate Watch,Energy,CO2,MtCO₂e,433.63,428.34,430.04,419.93,419.6,443.25,432.26,422.37,404.83
Mexico,Climate Watch,Energy,CO2,MtCO₂e,428.41,431.71,453.62,455.79,452.47,443.98,458.3,468.04,460.63
United States,Climate Watch,Energy,CH4,MtCO₂e,414.5,380.21,343.81,329.48,349.84,348.54,325.08,315.6,303.46
Brazil,Climate Watch,Energy,CO2,MtCO₂e,413.27,413.35,435.46,424.66,460.26,484.71,460.19,429.23,395.46
United States,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,392.7,358.92,323.82,309.06,328.98,326.79,303.68,295.72,282.58
Brazil,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,384.31,384.31,384.3,384.3,261.99,261.99,261.99,261.99,261.99
Australia,Climate Watch,Energy,CO2,MtCO₂e,383.5,384.12,386.14,382.03,374.71,368.45,377.02,383.48,382.87
Turkey,Climate Watch,Energy,CO2,MtCO₂e,366.42,374.7,378.63,338.87,318.97,307.17,285.18,298.43,287.19
European Union (27),Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,363.06,376.4,368.69,366.04,363.95,366.65,378.04,384.98,399.89
South Korea,Climate Watch,Electricity/Heat,CO2,MtCO₂e,358.91,373.7,365.16,356.66,351.34,343.58,345.95,350.8,346.63
United Kingdom,Climate Watch,Energy,CO2,MtCO₂e,344.47,356.37,362.59,376.26,396.69,411.38,449.73,464.06,441.49
China,Climate Watch,Agriculture,N2O,MtCO₂e,342.82,340.01,348.62,357.17,357.75,353.89,353.26,352.64,348.63
Brazil,Climate Watch,Agriculture,CH4,MtCO₂e,334.93,330.34,335.96,339.75,337.89,333.34,330.24,334.26,333.93
China,Climate Watch,Agriculture,CH4,MtCO₂e,319.73,329.75,335.87,342.25,341.38,337.91,337.58,338.53,341.02
Italy,Climate Watch,Energy,CO2,MtCO₂e,309.33,317.13,321.48,325.66,329.67,319.16,337.58,366.68,384.11
World,Climate Watch,Energy,N2O,MtCO₂e,297.0,295.73,290.84,285.49,283.37,280.68,278.3,271.87,267.73
France,Climate Watch,Energy,CO2,MtCO₂e,293.88,300.57,311.56,307.54,304.92,299.38,331.49,331.18,327.34
South Africa,Climate Watch,Electricity/Heat,CO2,MtCO₂e,288.85,282.19,284.58,290.93,284.91,304.0,292.58,294.59,287.27
Poland,Climate Watch,Energy,CO2,MtCO₂e,287.44,304.26,305.87,293.27,282.74,279.27,292.43,296.97,303.21
Vietnam,Climate Watch,Energy,CO2,MtCO₂e,283.64,235.96,187.71,186.9,186.35,148.18,133.98,127.4,127.75
World,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,282.83,272.84,264.94,279.69,276.6,273.04,264.07,269.23,267.18
Russia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,280.46,250.55,262.09,259.78,249.98,247.03,223.86,226.31,184.01
China,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,269.67,264.36,259.05,253.74,248.43,236.14,223.84,211.54,197.1
European Union (27),Climate Watch,Bunker Fuels,CO2,MtCO₂e,262.6,259.86,249.8,239.59,228.27,225.38,228.12,235.13,246.56
Saudi Arabia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,262.51,261.52,275.88,271.09,260.95,250.05,237.72,232.18,202.54
Germany,Climate Watch,Electricity/Heat,CO2,MtCO₂e,261.86,310.4,327.74,345.94,346.26,350.25,369.74,365.16,354.26
World,Climate Watch,Industrial Processes,N2O,MtCO₂e,260.88,255.35,249.82,244.28,238.9,228.75,216.29,209.43,210.27
Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,256.84,244.84,218.33,206.45,195.51,193.76,168.2,168.79,176.03
Thailand,Climate Watch,Energy,CO2,MtCO₂e,252.0,241.96,244.74,244.86,248.82,241.65,245.77,237.54,220.76
Malaysia,Climate Watch,Energy,CO2,MtCO₂e,241.25,232.39,216.33,222.54,227.56,226.8,214.29,197.3,194.64
Spain,Climate Watch,Energy,CO2,MtCO₂e,230.91,247.38,254.0,237.62,247.07,232.06,235.16,260.51,264.87
Egypt,Climate Watch,Energy,CO2,MtCO₂e,229.7,226.91,220.46,208.41,204.63,198.36,193.65,194.03,185.67
Australia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,221.13,221.38,227.24,225.68,219.58,212.81,222.64,230.76,233.27
India,Climate Watch,Agriculture,N2O,MtCO₂e,219.6,222.2,216.68,213.45,215.3,212.05,210.66,211.23,214.23
European Union (27),Climate Watch,Agriculture,CH4,MtCO₂e,211.92,213.57,218.52,219.55,219.3,217.56,215.76,216.08,216.86
Canada,Climate Watch,Electricity/Heat,CO2,MtCO₂e,211.91,210.81,212.07,212.65,216.23,216.06,213.48,210.44,209.0
Kazakhstan,Climate Watch,Energy,CO2,MtCO₂e,208.31,212.71,210.77,198.63,187.27,205.99,256.98,242.28,244.39
Iran,Climate Watch,Electricity/Heat,CO2,MtCO₂e,202.91,206.0,206.54,190.74,192.38,191.06,187.36,177.79,171.0
United States,Climate Watch,Agriculture,CH4,MtCO₂e,202.14,202.39,198.84,198.21,191.76,191.45,190.92,194.03,196.19
Japan,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,189.28,194.41,195.29,194.23,200.91,208.51,214.85,214.05,217.9
World,Climate Watch,Land-Use Change and Forestry,CH4,MtCO₂e,187.44,119.35,86.33,98.74,214.92,199.14,116.96,133.0,123.73
Mexico,Climate Watch,Electricity/Heat,CO2,MtCO₂e,186.09,189.08,194.71,196.74,193.61,192.04,201.55,212.32,204.58
United Arab Emirates,Climate Watch,Energy,CO2,MtCO₂e,180.13,168.39,189.0,193.4,188.08,177.6,179.0,170.38,159.94
United States,Climate Watch,Agriculture,N2O,MtCO₂e,179.7,181.6,182.02,183.25,178.31,179.37,180.02,177.82,178.75
Pakistan,Climate Watch,Energy,CO2,MtCO₂e,174.96,171.7,183.99,166.98,151.45,142.04,134.03,132.43,130.67
Singapore,Climate Watch,Bunker Fuels,CO2,MtCO₂e,174.94,181.27,182.59,174.85,162.75,153.7,154.39,153.48,152.92
United States,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,174.03,169.66,165.29,160.92,161.05,159.16,154.04,154.58,159.37
European Union (27),Climate Watch,Agriculture,N2O,MtCO₂e,172.47,170.63,175.87,175.54,177.16,175.52,172.86,169.65,169.33
Iraq,Climate Watch,Energy,CO2,MtCO₂e,171.07,159.66,151.59,138.74,129.68,130.9,134.92,125.53,109.5
Ukraine,Climate Watch,Energy,CO2,MtCO₂e,170.65,181.9,171.4,198.03,187.79,234.43,266.87,273.83,279.44
Brazil,Climate Watch,Agriculture,N2O,MtCO₂e,169.34,166.03,171.1,163.24,159.06,161.68,155.3,155.23,154.66
Iran,Climate Watch,Energy,CH4,MtCO₂e,165.92,192.87,193.26,180.56,154.31,150.34,138.94,143.36,152.7
Argentina,Climate Watch,Energy,CO2,MtCO₂e,164.0,172.52,174.9,179.13,180.98,175.26,178.67,173.78,172.05
Iran,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,163.85,190.8,191.24,178.58,152.38,148.44,137.07,141.55,150.96
Algeria,Climate Watch,Energy,CO2,MtCO₂e,160.5,154.79,147.63,145.55,148.21,140.07,131.73,127.24,112.6
Vietnam,Climate Watch,Electricity/Heat,CO2,MtCO₂e,154.42,120.63,93.13,97.0,71.1,53.01,44.46,41.47,40.27
Turkey,Climate Watch,Electricity/Heat,CO2,MtCO₂e,149.31,159.04,158.51,146.53,133.83,138.61,121.0,126.91,123.12
United States,Climate Watch,Bunker Fuels,CO2,MtCO₂e,148.78,139.62,148.23,136.85,124.49,118.97,118.34,119.4,145.64
Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,148.17,112.48,96.47,83.91,100.82,88.87,78.94,119.16,135.76
Netherlands,Climate Watch,Energy,CO2,MtCO₂e,146.33,151.14,155.46,158.3,157.16,149.51,156.82,157.17,158.42
Poland,Climate Watch,Electricity/Heat,CO2,MtCO₂e,145.28,157.4,159.33,157.79,158.08,155.38,165.0,164.54,169.49
India,Climate Watch,Industrial Processes,CO2,MtCO₂e,143.7,139.0,121.0,123.3,117.5,115.8,107.8,100.2,91.31
